Proof,Alcohol,Water,Gravity in Air,Gravity in Vacuum,Shrink
185,92.5,9.09,0.82509,0.82529,1.59
186,93,8.52,0.8233,0.82351,1.52
187,93.5,7.94,0.82149,0.8217,1.44
188,94,7.36,0.81963,0.81984,1.36
189,94.5,6.77,0.81775,0.81796,1.27
190,95,6.18,0.81582,0.81603,1.18
191,95.5,5.59,0.81385,0.81407,1.09
192,96,4.99,0.81184,0.81206,0.99
193,96.5,4.39,0.80979,0.81001,0.89
194,97,3.78,0.8077,0.80792,0.78
195,97.5,3.17,0.80555,0.80577,0.67
196,98,2.55,0.80333,0.80356,0.55
197,98.5,1.93,0.80104,0.80127,0.43
198,99,1.29,0.79866,0.79889,0.29
199,99.5,0.65,0.7962,0.79643,0.15
200,100,0,0.79365,0.79389,0
